[11657] [05-09-2012 16:30:17]:	Finished writing sequence region
[11657] [05-09-2012 16:30:45]:	Starting GFF3 output of DDB0232428
[11657] [05-09-2012 16:30:46]:	going to write exon:   _DDB0216523_CDS_DDB0189305:177961..177964
[11657] [05-09-2012 16:30:46]:	going to write exon:   _DDB0216523_CDS_DDB0189305:173911..177905
[11657] [05-09-2012 16:30:46]:	going to write exon:   _DDB0216523_CDS_DDB0189305:173720..173731
[11657] [05-09-2012 16:30:46]:	going to write exon:   _DDB0216524_CDS_DDB0189305:178187..178628
[11657] [05-09-2012 16:30:46]:	going to write exon:   _DDB0216526_CDS_DDB0189305:181551..182700
[11657] [05-09-2012 16:30:46]:	going to write exon:   _DDB0216528_CDS_DDB0189305:185845..186489
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191294_CDS_DDB0189305:1732414..1733142
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191294_CDS_DDB0189305:1733221..1738865
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191165_CDS_DDB0189305:408502..408649
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191165_CDS_DDB0189305:408790..408992
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191165_CDS_DDB0189305:409066..410061
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191115_CDS_DDB0189305:936897..938235
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0216527_CDS_DDB0189305:184795..184954
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0216527_CDS_DDB0189305:184506..184731
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0216527_CDS_DDB0189305:184144..184333
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:547632..547751
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:547254..547462
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:546999..547074
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:546749..546891
